Initializing V620 PPO Trainer...
ROCm GPU detected: AMD Radeon PRO V620
Training server listening on port 5555
Episode finished | Reward: -5.01 | Avg (100): -5.09
Episode finished | Reward: -5.01 | Avg (100): -5.07
Episode finished | Reward: -5.01 | Avg (100): -5.05
Episode finished | Reward: -5.01 | Avg (100): -5.03
Episode finished | Reward: -5.01 | Avg (100): -5.02
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
